countries,infected,deaths,recovered,active,death_rate,recovery_rate,infected_today,deaths_today,recovered_today,critical,tests
United States,244190,5883,10400,227907,2.4,4.3,,,,,
Italy,115242,13915,18278,83049,12.1,15.9,,,,,
Spain,112065,10348,26743,74974,9.2,23.9,,,,,
Germany,84794,1107,22440,61247,1.3,26.5,,,,,
China,82413,3322,76546,2545,4.0,92.9,,,,,
France,59105,5387,12428,41290,9.1,21.0,,,,,
Iran,50468,3160,16711,30597,6.3,33.1,,,,,
United Kingdom,34151,2926,192,31033,8.6,0.6,,,,,
Switzerland,18827,536,4013,14278,2.8,21.3,,,,,
Turkey,18135,356,415,17364,2.0,2.3,,,,,
Belgium,15348,1011,2495,11842,6.6,16.3,,,,,
Netherlands,14757,1339,251,13167,9.1,1.7,,,,,
Canada,11283,173,1979,9131,1.5,17.5,,,,,
Austria,11129,158,1749,9222,1.4,15.7,,,,,
South Korea,9976,169,5828,3979,1.7,58.4,,,,,
Portugal,9034,209,68,8757,2.3,0.8,,,,,
Brazil,8044,324,127,7593,4.0,1.6,,,,,
Israel,6857,36,338,6483,0.5,4.9,,,,,
Sweden,5568,308,103,5157,5.5,1.8,,,,,
Australia,5314,28,585,4701,0.5,11.0,,,,,
Norway,5147,50,32,5065,1.0,0.6,,,,,
Czechia,3858,44,67,3747,1.1,1.7,,,,,
Ireland,3849,98,5,3746,2.5,0.1,,,,,
Denmark,3563,123,1170,2270,3.5,32.8,,,,,
Russia,3548,30,235,3283,0.8,6.6,,,,,
Chile,3404,18,335,3051,0.5,9.8,,,,,
Ecuador,3163,120,65,2978,3.8,2.1,,,,,
Malaysia,3116,50,767,2299,1.6,24.6,,,,,
Poland,2946,57,56,2833,1.9,1.9,,,,,
Romania,2738,115,267,2356,4.2,9.8,,,,,
Philippines,2633,107,51,2475,4.1,1.9,,,,,
India,2543,72,191,2280,2.8,7.5,,,,,
Japan,2495,62,472,1961,2.5,18.9,,,,,
Luxembourg,2487,30,80,2377,1.2,3.2,,,,,
Pakistan,2421,34,125,2262,1.4,5.2,,,,,
Saudi Arabia,1885,21,328,1536,1.1,17.4,,,,,
Thailand,1875,15,505,1355,0.8,26.9,,,,,
Indonesia,1790,170,112,1508,9.5,6.3,,,,,
Greece,1544,53,61,1430,3.4,4.0,,,,,
Finland,1518,19,300,1199,1.3,19.8,,,,,
Panama,1475,37,9,1429,2.5,0.6,,,,,
South Africa,1462,5,50,1407,0.3,3.4,,,,,
Peru,1414,55,537,822,3.9,38.0,,,,,
Dominican Republic,1380,60,16,1304,4.3,1.2,,,,,
Mexico,1378,37,35,1306,2.7,2.5,,,,,
Iceland,1319,4,284,1031,0.3,21.5,,,,,
Serbia,1171,31,42,1098,2.6,3.6,,,,,
Colombia,1161,19,55,1087,1.6,4.7,,,,,
Argentina,1133,36,256,841,3.2,22.6,,,,,
Singapore,1049,4,266,779,0.4,25.4,,,,,
United Arab Emirates,1024,8,96,920,0.8,9.4,,,,,
Croatia,1011,7,88,916,0.7,8.7,,,,,
Algeria,986,86,61,839,8.7,6.2,,,,,
Qatar,949,3,72,874,0.3,7.6,,,,,
Slovenia,897,17,70,810,1.9,7.8,,,,,
Ukraine,897,22,19,856,2.5,2.1,,,,,
Egypt,865,58,201,606,6.7,23.2,,,,,
Estonia,858,11,45,802,1.3,5.2,,,,,
Hong Kong,802,4,154,644,0.5,19.2,,,,,
New Zealand,797,1,92,704,0.1,11.5,,,,,
Iraq,772,54,202,516,7.0,26.2,,,,,
