countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,1129882,35152,65724,1883,161551,9227,902607,16478,6690837,5.8,14.3
Spain,242988,3349,24824,281,142450,4466,75714,2500,1528833,10.2,58.6
Italy,207428,1965,28236,269,78249,2304,100943,1578,2053425,13.6,37.7
United Kingdom,178566,6206,27579,741,856,31,150131,1559,1023824,15.4,0.5
France,167346,168,24594,218,50212,736,92540,3878,1100228,14.7,30.0
Germany,164077,1068,6736,113,126900,3400,30441,2189,2547052,4.1,77.3
Turkey,122392,2188,3258,84,53808,4922,65326,1480,1075048,2.7,44.0
Russia,114431,7933,1169,96,13220,1601,100042,2300,3700000,1.0,11.6
Iran,95646,1006,6091,63,76318,1215,13237,2899,475023,6.4,79.8
Brazil,92109,6729,6410,509,38039,2104,47660,8318,339552,7.0,41.3
China,83743,-62,4634,-3,78365,1,744,38,0,5.5,93.6
Canada,56282,1908,3536,233,22751,1328,29995,557,832222,6.3,40.4
Belgium,49032,513,7703,109,11892,316,29437,740,253198,15.7,24.3
Peru,40459,3483,1124,73,11129,724,28206,658,342498,2.8,27.5
Netherlands,39891,475,4895,98,81,2,34915,735,225899,12.3,0.2
India,37257,2395,1223,69,10007,939,26027,0,902654,3.3,26.9
Switzerland,29705,119,1754,17,23900,500,4051,167,271500,5.9,80.5
Ecuador,26336,1402,1063,163,1913,355,23360,149,71950,4.0,7.3
Portugal,25351,306,1007,18,1647,128,22697,154,409961,4.0,6.5
Saudi Arabia,24097,1344,169,7,3555,392,20373,117,326955,0.7,14.8
Sweden,21520,428,2653,67,1005,0,17862,531,119500,12.3,4.7
Ireland,20833,221,1265,33,13386,0,6182,123,153954,6.1,64.3
Mexico,19224,1425,1859,127,11423,0,5942,378,81912,9.7,59.4
Pakistan,18092,1619,417,56,4351,246,13324,111,182131,2.3,24.0
Singapore,17101,932,16,1,1268,24,15817,23,143919,0.1,7.4
Chile,17008,985,234,7,9018,438,7756,392,189433,1.4,53.0
Israel,16101,155,225,3,9156,595,6720,103,364467,1.4,56.9
Austria,15531,79,589,5,13110,203,1832,124,264079,3.8,84.4
Belarus,14917,890,93,4,2918,532,11906,92,186262,0.6,19.6
Qatar,14096,687,12,2,1436,64,12648,72,97726,0.1,10.2
Japan,14088,0,430,0,2460,0,11198,308,165609,3.1,17.5
Poland,13105,228,651,7,3491,255,8963,160,354628,5.0,26.6
United Arab Emirates,13038,557,111,6,2543,114,10384,1,1200000,0.9,19.5
Romania,12567,327,744,27,4328,311,7495,249,183688,5.9,34.4
Ukraine,10861,455,272,11,1413,175,9176,143,118545,2.5,13.0
South Korea,10774,9,248,1,9072,13,1454,55,623069,2.3,84.2
Indonesia,10551,433,800,8,1591,69,8160,0,102305,7.6,15.1
Denmark,9498,153,460,8,6913,183,2125,61,206576,4.8,72.8
Serbia,9205,196,185,6,1379,36,7641,65,91551,2.0,15.0
Philippines,8772,284,579,11,1084,41,7109,31,108680,6.6,12.4
Bangladesh,8238,571,170,2,174,14,7894,1,70239,2.1,2.1
Norway,7783,45,210,0,32,0,7541,37,172586,2.7,0.4
Czechia,7737,55,240,4,3372,58,4125,67,249634,3.1,43.6
Dominican Republic,7288,316,313,12,1387,86,5588,144,25368,4.3,19.0
Colombia,7006,499,314,21,1551,112,5141,118,104657,4.5,22.1
Australia,6767,14,93,0,5745,30,929,28,588868,1.4,84.9
Panama,6532,154,188,10,576,49,5768,86,30749,2.9,8.8
Malaysia,6071,69,103,1,4210,39,1758,37,168784,1.7,69.3
South Africa,5951,304,116,13,2382,309,3453,36,217522,1.9,40.0
Egypt,5895,358,406,14,1460,79,4029,0,90000,6.9,24.8
Finland,5051,56,218,7,3000,0,1833,49,97600,4.3,59.4
Morocco,4569,146,171,1,1083,99,3315,1,37006,3.7,23.7
Argentina,4532,104,225,7,1292,36,3015,157,61530,5.0,28.5
Kuwait,4377,353,30,4,1602,63,2745,70,179000,0.7,36.6
Algeria,4154,148,453,3,1821,42,1880,22,6500,10.9,43.8
Moldova,3980,83,122,6,1272,90,2586,237,11763,3.1,32.0
Luxembourg,3802,18,92,2,3213,0,497,23,44895,2.4,84.5
Kazakhstan,3597,195,25,0,922,56,2650,40,268534,0.7,25.6
Bahrain,3170,130,8,0,1555,55,1607,1,134082,0.3,49.1
Thailand,2960,6,54,0,2719,35,187,61,178083,1.8,91.9
Hungary,2863,88,323,11,609,28,1931,49,76331,11.3,21.3
Greece,2612,21,140,0,1374,0,1098,36,77251,5.4,52.6
Oman,2447,99,11,0,495,0,1941,17,40459,0.4,20.2
Afghanistan,2335,164,68,4,310,50,1957,7,10593,2.9,13.3
Nigeria,2170,238,68,10,351,32,1751,2,15759,3.1,16.2
Iraq,2153,68,94,1,1414,39,645,0,95399,4.4,65.7
Armenia,2148,82,33,1,977,48,1138,10,22177,1.5,45.5
Uzbekistan,2086,47,9,0,1212,79,865,8,242536,0.4,58.1
Croatia,2085,9,75,6,1421,73,589,17,36917,3.6,68.2
Ghana,2074,0,17,0,212,0,1845,4,113497,0.8,10.2
Azerbaijan,1854,50,25,1,1365,40,464,17,146630,1.3,73.6
Cameroon,1832,0,61,0,934,0,837,12,0,3.3,51.0
Iceland,1798,1,10,0,1689,19,99,0,49135,0.6,93.9
Bosnia and Herzegovina,1781,24,70,1,755,28,956,4,32178,3.9,42.4
Estonia,1694,5,52,0,253,4,1389,7,53767,3.1,14.9
Bulgaria,1555,49,68,2,276,10,1211,43,46510,4.4,17.7
Cuba,1537,36,64,3,714,33,759,10,49409,4.2,46.5
Guinea,1537,42,7,0,342,13,1188,0,0,0.5,22.3
North Macedonia,1494,29,81,4,807,69,606,13,16798,5.4,54.0
New Zealand,1479,3,19,0,1252,11,208,1,139898,1.3,84.7
Slovenia,1434,5,92,1,233,0,1109,22,52948,6.4,16.2
Slovakia,1403,7,23,0,558,34,822,5,91072,1.6,39.8
Lithuania,1399,14,45,0,594,5,760,17,132768,3.2,42.5
Ivory Coast,1333,58,15,1,597,23,721,0,10073,1.1,44.8
Bolivia,1167,57,62,3,132,15,973,3,5791,5.3,11.3
Djibouti,1097,8,2,0,672,30,423,0,13751,0.2,61.3
Hong Kong,1040,2,4,0,859,13,177,4,154989,0.4,82.6
Senegal,1024,91,9,0,356,22,659,1,466,0.9,34.8
Tunisia,998,4,41,0,316,11,641,24,23526,4.1,31.7
Latvia,870,12,16,1,348,0,506,2,61120,1.8,40.0
Cyprus,857,7,15,0,296,0,546,15,60536,1.8,34.5
Kosovo,806,7,22,0,271,22,513,0,0,2.7,33.6
Honduras,804,33,75,4,112,33,617,10,3643,9.3,13.9
Albania,782,9,31,0,488,18,263,4,8498,4.0,62.4
Kyrgyzstan,756,10,8,0,504,42,244,12,51472,1.1,66.7
Andorra,745,0,43,1,468,0,234,17,1673,5.8,62.8
Lebanon,729,4,24,0,192,42,513,44,36420,3.3,26.3
Niger,728,9,33,1,478,26,217,0,5230,4.5,65.7
Costa Rica,725,6,6,0,355,17,364,7,13529,0.8,49.0
Cruise Ship,712,0,13,0,645,0,54,4,0,1.8,90.6
Sri Lanka,690,27,7,0,162,8,521,1,22418,1.0,23.5
Burkina Faso,649,4,44,1,517,11,88,0,0,6.8,79.7
Uruguay,648,5,17,0,435,18,196,10,20554,2.6,67.1
Congo (Kinshasa),604,104,32,1,75,10,497,0,0,5.3,12.4
Somalia,601,0,28,0,31,0,542,2,0,4.7,5.2
Guatemala,599,14,16,0,66,1,517,5,7200,2.7,11.0
San Marino,580,11,41,0,82,4,457,5,2386,7.1,14.1
Georgia,566,27,7,1,207,23,352,6,15904,1.2,36.6
Mayotte,539,0,4,0,235,0,300,4,3000,0.7,43.6
Channel Islands,538,1,41,1,406,20,91,0,5342,7.6,75.5
Mali,508,18,26,0,196,61,286,0,2172,5.1,38.6
Maldives,491,23,1,0,17,0,473,2,8008,0.2,3.5
Tanzania,480,0,16,0,167,0,297,7,0,3.3,34.8
Malta,467,2,4,0,383,32,80,1,32989,0.9,82.0
Jordan,459,6,8,0,364,2,87,5,78885,1.7,79.3
Sudan,442,0,31,0,39,0,372,0,0,7.0,8.8
Taiwan,429,0,6,0,324,2,99,0,63340,1.4,75.5
El Salvador,424,29,10,1,124,5,290,2,25492,2.4,29.2
Réunion,422,2,0,0,300,0,122,2,0,0.0,71.1
Jamaica,422,26,8,1,29,0,385,3,4439,1.9,6.9
Kenya,411,15,21,4,150,6,240,2,21702,5.1,36.5
West Bank and Gaza,353,9,2,0,76,0,275,0,0,0.6,21.5
Palestine,353,9,2,0,76,0,275,0,32200,0.6,21.5
Venezuela,335,2,10,-6,142,0,183,2,458737,3.0,42.4
Mauritius,332,0,10,0,312,2,10,3,16028,3.0,94.0
Montenegro,322,0,7,0,233,19,82,2,6864,2.2,72.4
Isle of Man,316,1,22,1,271,11,23,21,3228,7.0,85.8
Equatorial Guinea,315,0,1,0,9,0,305,0,854,0.3,2.9
Gabon,276,0,3,0,67,0,206,1,724,1.1,24.3
Vietnam,270,0,0,0,219,0,51,8,261004,0.0,81.1
Paraguay,266,17,10,1,113,2,143,1,9903,3.8,42.5
Guinea-Bissau,257,52,1,0,19,0,237,0,1500,0.4,7.4
Rwanda,249,6,0,0,109,5,140,0,10969,0.0,43.8
Congo (Brazzaville),229,9,9,0,25,6,195,0,0,3.9,10.9
Faroe Islands,187,0,0,0,184,0,3,0,7081,0.0,98.4
Martinique,179,1,14,0,83,0,82,5,0,7.8,46.4
Guadeloupe,152,1,12,0,95,0,45,6,0,7.9,62.5
Liberia,152,11,18,2,45,0,89,0,0,11.8,29.6
Burma,151,1,6,0,31,4,114,0,0,4.0,20.5
Myanmar,151,1,6,0,31,4,114,0,8281,4.0,20.5
Gibraltar,144,0,0,0,131,0,13,0,2626,0.0,91.0
Brunei,138,0,1,0,124,0,13,2,13717,0.7,89.9
Sierra Leone,136,12,7,0,21,0,108,0,0,5.1,15.4
Ethiopia,133,2,3,0,66,7,64,0,18754,2.3,49.6
Madagascar,132,4,0,0,94,2,38,1,3228,0.0,71.2
French Guiana,128,2,1,0,98,4,29,2,0,0.8,76.6
Togo,123,7,9,0,66,1,48,0,7100,7.3,53.7
Cabo Verde,122,1,1,0,18,14,103,0,791,0.8,14.8
Cambodia,122,0,0,0,119,0,3,1,12084,0.0,97.5
Trinidad and Tobago,116,0,8,0,81,9,27,0,1772,6.9,69.8
Bermuda,114,3,6,0,48,0,60,4,2791,5.3,42.1
Zambia,109,3,3,0,74,19,32,1,5284,2.8,67.9
Eswatini,106,6,1,0,12,0,93,0,714,0.9,11.3
Aruba,100,0,2,0,81,2,17,4,1721,2.0,81.0
Monaco,95,0,4,0,73,9,18,1,0,4.2,76.8
Benin,90,26,2,1,42,9,46,0,0,2.2,46.7
Uganda,85,2,0,0,52,0,33,0,31364,0.0,61.2
Guyana,82,0,9,0,22,0,51,2,579,11.0,26.8
Liechtenstein,82,0,1,0,55,0,26,0,900,1.2,67.1
Bahamas,81,0,11,0,25,0,45,1,1284,13.6,30.9
Haiti,81,0,8,0,8,0,65,0,827,9.9,9.9
Barbados,81,0,7,0,39,0,35,4,2160,8.6,48.1
Mozambique,79,3,0,0,12,0,67,0,2246,0.0,15.2
Sint Maarten,76,1,13,0,44,11,19,7,329,17.1,57.9
Cayman Islands,74,1,1,0,10,0,63,3,1927,1.4,13.5
Chad,73,0,5,0,33,0,35,0,0,6.8,45.2
CAR,72,22,0,0,10,0,62,0,0,0.0,13.9
Libya,63,2,3,0,18,0,42,0,1949,4.8,28.6
Nepal,59,2,0,0,16,0,43,0,60374,0.0,27.1
Macau,45,0,0,0,37,2,8,1,0,0.0,82.2
South Sudan,45,10,0,0,0,0,45,0,1247,0.0,0.0
Syria,44,1,3,0,27,6,14,0,0,6.8,61.4
Zimbabwe,40,0,4,0,5,0,31,0,7642,10.0,12.5
Eritrea,39,0,0,0,26,0,13,0,0,0.0,66.7
Mongolia,38,0,0,0,10,0,28,0,7672,0.0,26.3
Saint Martin,38,0,3,0,27,3,8,3,0,7.9,71.1
Malawi,37,0,3,0,9,2,25,1,831,8.1,24.3
Angola,30,3,2,0,11,4,17,0,481,6.7,36.7
Antigua and Barbuda,25,1,3,0,15,4,7,1,151,12.0,60.0
Timor-Leste,24,0,0,0,16,0,8,0,322,0.0,66.7
Botswana,23,0,1,0,8,3,14,0,7675,4.3,34.8
Grenada,20,0,0,0,13,0,7,4,1406,0.0,65.0
Laos,19,0,0,0,8,0,11,0,2021,0.0,42.1
Fiji,18,0,0,0,12,0,6,0,1007,0.0,66.7
New Caledonia,18,0,0,0,17,0,1,1,4947,0.0,94.4
Belize,18,0,2,0,13,4,3,1,1043,11.1,72.2
Saint Lucia,17,0,0,0,15,0,2,0,446,0.0,88.2
Namibia,16,0,0,0,8,0,8,0,704,0.0,50.0
Sao Tome and Principe,16,2,1,1,4,0,11,0,19,6.2,25.0
Curaçao,16,0,1,0,13,0,2,0,351,6.2,81.2
St. Vincent Grenadines,16,0,0,0,8,0,8,0,108,0.0,50.0
Dominica,16,0,0,0,13,0,3,0,383,0.0,81.2
Saint Kitts and Nevis,15,0,0,0,6,0,9,0,293,0.0,40.0
Tajikistan,15,0,0,0,0,0,15,0,0,0.0,0.0
Nicaragua,14,0,3,0,7,0,4,0,0,21.4,50.0
Falkland Islands,13,0,0,0,13,2,0,0,372,0.0,100.0
Turks and Caicos,12,0,1,0,5,0,6,0,83,8.3,41.7
Gambia,12,1,1,0,8,0,3,0,401,8.3,66.7
Vatican City,11,0,0,0,2,0,9,0,0,0.0,18.2
Montserrat,11,0,1,0,2,0,8,1,36,9.1,18.2
Burundi,11,0,1,0,4,0,6,0,284,9.1,36.4
Seychelles,11,0,0,0,6,0,5,0,0,0.0,54.5
Greenland,11,0,0,0,11,0,0,0,1271,0.0,100.0
Suriname,10,0,1,0,8,0,1,0,404,10.0,80.0
MS Zaandam,9,0,2,0,0,0,7,0,0,22.2,0.0
Papua New Guinea,8,0,0,0,0,0,8,0,604,0.0,0.0
Mauritania,8,0,1,0,6,0,1,0,1032,12.5,75.0
Bhutan,7,0,0,0,5,0,2,0,10101,0.0,71.4
Yemen,7,1,2,0,1,0,4,0,120,28.6,14.3
St. Barth,6,0,0,0,6,0,0,0,0,0.0,100.0
Western Sahara,6,0,0,0,5,0,1,0,0,0.0,83.3
British Virgin Islands,6,0,1,0,3,0,2,0,0,16.7,50.0
Caribbean Netherlands,5,0,0,0,0,0,5,0,110,0.0,0.0
Anguilla,3,0,0,0,3,0,0,0,0,0.0,100.0
Comoros,1,0,0,0,0,0,1,0,0,0.0,0.0
Saint Pierre Miquelon,1,0,0,0,0,0,1,0,0,0.0,0.0
United States,1159430,28579,67391,1662,160668,-883,931371,16475,6925119,5.8,13.9
Spain,245567,2579,25100,276,146233,3783,74234,2386,1528833,10.2,59.5
Italy,209328,1900,28710,474,79914,1665,100704,1539,2108837,13.7,38.2
United Kingdom,183381,4815,28201,622,860,4,154320,1559,1129907,15.4,0.5
France,168396,1050,24760,166,50562,350,93074,3827,1100228,14.7,30.0
Germany,164967,890,6812,76,129000,2100,29155,2105,2547052,4.1,78.2
Turkey,124375,1983,3336,78,58259,4451,62780,1445,1111366,2.7,46.8
Russia,124054,9623,1222,53,15013,1793,107819,2300,3945518,1.0,12.1
