countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,1095304,574,63871,30,155737,3413,875696,15226,6391887,5.8,14.2
Spain,239639,0,24543,0,137984,0,77112,2676,1455306,10.2,57.6
Italy,205463,0,27967,0,75945,0,101551,1694,1979217,13.6,37.0
United Kingdom,172363,3,26838,0,825,0,144700,1559,901905,15.6,0.5
France,167178,0,24376,0,49476,0,93326,4019,724574,14.6,29.6
Germany,163009,0,6623,0,126900,3400,29486,2415,2547052,4.1,77.8
Turkey,120204,0,3174,0,48886,0,68144,1514,1033617,2.6,40.7
Russia,114431,7933,1169,96,13220,1601,100042,2300,3700000,1.0,11.6
Iran,94640,0,6028,0,75103,0,13509,2976,463295,6.4,79.4
Brazil,87187,1807,6006,105,35935,0,45246,8318,339552,6.9,41.2
China,83741,-64,4634,-3,78321,-43,786,38,0,5.5,93.5
Canada,54401,27,3309,6,21423,0,29669,557,806449,6.1,39.4
Belgium,49032,513,7703,109,11892,316,29437,740,253198,15.7,24.3
Netherlands,39416,0,4797,0,79,0,34540,783,219744,12.2,0.2
Peru,36976,0,1051,0,10405,0,25520,651,318252,2.8,28.1
India,35043,181,1154,0,9068,0,24821,0,902654,3.3,25.9
Switzerland,29586,0,1737,0,23400,0,4449,167,266200,5.9,79.1
Portugal,25045,0,989,0,1519,0,22537,172,395771,3.9,6.1
Ecuador,24934,0,900,0,1558,0,22476,146,69054,3.6,6.2
Saudi Arabia,22753,0,162,0,3163,0,19428,123,200000,0.7,13.9
Sweden,21092,0,2586,0,1005,0,17501,531,119500,12.3,4.8
Ireland,20612,0,1232,0,13386,0,5994,123,153954,6.0,64.9
Mexico,19224,1425,1859,127,11423,0,5942,378,81912,9.7,59.4
Singapore,17101,932,15,0,1244,0,15842,21,143919,0.1,7.3
Pakistan,16817,344,385,24,4315,210,12117,111,182131,2.3,25.7
Chile,16023,0,227,0,8580,0,7216,392,180517,1.4,53.5
Israel,16004,58,223,1,8758,197,7023,105,364467,1.4,54.7
Austria,15561,109,589,5,13110,203,1862,124,256399,3.8,84.2
Japan,14088,0,430,0,2460,0,11198,308,165609,3.1,17.5
Belarus,14027,0,89,0,2386,0,11552,92,176625,0.6,17.0
Qatar,13409,0,10,0,1372,0,12027,72,94500,0.1,10.2
